Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
ManchesterCity,32,25.1,21,31.53m,1010m
ChelseaFCﾠ,46,24.7,33,19.22m,884.25m
LiverpoolFC,35,24.9,21,24.50m,857.50m
ManchesterUnitedﾠ,35,26.1,22,24.27m,849.50m
TottenhamHotspur,34,24.7,22,24.40m,829.60m
ArsenalFCﾠ,45,24.8,27,15.42m,694.00m
EvertonFC,48,24.9,30,7.94m,381.25m
LeicesterCity,34,26.5,21,8.95m,304.25m
SouthamptonFC,29,25.8,16,10.24m,297.00m
WestHamUnited,41,25.3,24,6.36m,260.60m
CrystalPalace,41,25.8,23,5.38m,220.73m
NewcastleUnitedﾠﾠ,37,25.4,25,5.63m,208.28m
WatfordFC,37,26.8,28,5.30m,196.00m
StokeCity,35,26.2,27,5.50m,192.45m
BurnleyFC,30,27.8,16,5.64m,169.30m
WestBromwichAlbion,33,26.5,17,5.03m,165.95m
SwanseaCity,36,26.3,25,4.60m,165.49m
Brighton&HoveAlbionﾠﾠ,39,26.7,27,3.80m,148.20m
AFCBournemouth,35,26,14,4.13m,144.50m
HuddersfieldTownﾠﾠ,35,25.6,19,3.03m,106.05m
