Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
ChelseaFC,49,24.8,41,14.01m,686.70m
ManchesterCity,35,26.4,28,16.47m,576.50m
TottenhamHotspur,38,23.7,20,14.31m,543.65m
ArsenalFC,42,24.7,26,12.90m,542.00m
ManchesterUnitedﾠ,42,24.4,25,12.65m,531.45m
LiverpoolFC,38,24.4,24,11.20m,425.65m
EvertonFC,39,25.9,25,7.98m,311.25m
WestHamUnited,44,24.7,28,6.21m,273.05m
SouthamptonFC,36,25.3,19,7.33m,263.75m
CrystalPalace,45,26.1,26,5.08m,228.43m
LeicesterCityﾠ,31,26.6,21,7.05m,218.65m
StokeCity,34,27.1,27,5.47m,186.00m
WatfordFC,46,26.8,36,3.82m,175.65m
SwanseaCity,37,26.9,28,4.25m,157.10m
HullCityﾠﾠ,42,26,23,3.23m,135.85m
SunderlandAFC,42,25.3,27,3.14m,132.00m
AFCBournemouth,41,24.4,16,3.21m,131.60m
MiddlesbroughFCﾠﾠ,35,27.3,21,3.68m,128.80m
WestBromwichAlbion,30,27.3,18,4.11m,123.20m
BurnleyFCﾠﾠ,36,26.6,15,2.98m,107.18m
