Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
Chelsea FC,38,24.9,28,14.66m,557.25m
Manchester United,43,24.9,26,11.75m,505.40m
Manchester Cityﾠ ,34,26.7,27,13.18m,448.25m
Arsenal FCﾠ ,42,24,29,9.88m,414.75m
Liverpool FC,35,24.3,21,9.28m,324.85m
Tottenham Hotspur,42,24.7,25,7.24m,304.15m
Southampton FC,37,24.5,20,5.68m,210.25m
Everton FC,40,25.3,22,4.57m,182.85m
Newcastle United,42,23.9,27,3.33m,140.00m
West Ham United,36,25.8,21,3.78m,135.90m
Swansea City,36,25.3,26,3.63m,130.75m
Hull City,35,27,24,3.35m,117.10m
Aston Villa,38,25.3,20,3.01m,114.25m
Queens Park Rangersﾠﾠ,41,26,25,2.74m,112.25m
Stoke City,30,27.4,23,3.68m,110.50m
Crystal Palace,42,27,26,2.32m,97.25m
West Bromwich Albion,34,26.5,23,2.82m,95.95m
Sunderland AFC,34,25.8,20,2.68m,91.00m
Leicester Cityﾠﾠ ,37,26.9,19,1.80m,66.70m
Burnley FCﾠﾠ,30,26.5,13,1.75m,52.55m
