Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
ManchesterCityﾠ,24,26.7,16,43.70m,1050m
ChelseaFC,33,25,22,31.65m,1040m
LiverpoolFCﾠ,30,26.4,21,31.03m,931.00m
ArsenalFC,23,25,16,34.91m,803.00m
ManchesterUnited,29,26.2,19,26.07m,756.10m
TottenhamHotspur,25,26.4,17,28.45m,711.30m
NewcastleUnited,29,27,17,16.36m,474.40m
WestHamUnited,22,27.9,16,21.43m,471.50m
LeicesterCity,27,26.7,19,16.86m,455.10m
AstonVilla,23,27,16,19.38m,445.80m
WolverhamptonWanderers,28,25.9,24,14.06m,393.70m
SouthamptonFC,30,25.2,21,12.92m,387.50m
EvertonFC,25,27.2,11,14.72m,368.10m
NottinghamForestﾠﾠ,36,27.6,23,9.24m,332.65m
CrystalPalace,24,27,15,12.88m,309.20m
Brighton&HoveAlbion,24,24.8,17,12.86m,308.60m
BrentfordFC,24,25.4,19,12.71m,305.10m
LeedsUnited,24,25.4,19,12.29m,295.00m
FulhamFCﾠﾠ,25,27.9,23,10.10m,252.50m
AFCBournemouthﾠﾠ,27,26.2,16,8.40m,226.70m
