Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
Chelsea FCﾠ ,49,24.7,40,11.92m,584.20m
Manchester City,27,26.8,21,16.88m,455.80m
Manchester Unitedﾠ ,37,25.5,24,10.88m,402.55m
Arsenal FC,41,24.5,34,9.41m,385.75m
Liverpool FC,36,24.1,25,8.77m,315.75m
Tottenham Hotspur,41,23.8,22,7.05m,288.95m
Everton FC,34,26,23,6.18m,210.00m
Newcastle United,37,24.8,27,4.66m,172.30m
Southampton FC,35,24.2,17,3.76m,131.50m
Swansea City,36,25.7,28,3.58m,128.93m
Sunderland AFC,39,25.6,28,3.13m,122.00m
Fulham FC,48,25.9,36,2.35m,112.65m
West Ham United,45,25.9,26,2.43m,109.50m
Aston Villa,36,24.7,22,3.04m,109.50m
Stoke City,33,26.5,22,3.17m,104.70m
West Bromwich Albion,33,27.2,24,2.75m,90.80m
Norwich City,32,26.6,18,2.79m,89.30m
Cardiff Cityﾠﾠ ,42,25.3,26,2.09m,87.90m
Crystal Palaceﾠﾠ,45,26.6,24,1.53m,68.70m
Hull Cityﾠﾠ,34,27.2,23,2.00m,68.15m
