Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
ChelseaFCﾠ,40,24.7,31,13.84m,553.50m
ManchesterCity,38,25.4,27,13.14m,499.35m
ArsenalFCﾠ,41,24.7,29,11.17m,457.85m
ManchesterUnited,44,23.5,25,10.00m,439.85m
LiverpoolFC,44,23.4,27,8.53m,375.25m
TottenhamHotspur,31,23.7,16,12.00m,371.85m
EvertonFC,39,25.7,21,6.41m,249.85m
SouthamptonFC,35,25,20,6.44m,225.50m
WestHamUnited,50,24.2,28,4.03m,201.33m
NewcastleUnited,42,24.5,27,4.71m,198.00m
LeicesterCity,35,26.9,20,4.60m,161.10m
StokeCity,31,27.3,24,4.74m,147.00m
SwanseaCity,36,25.8,27,4.05m,145.80m
WatfordFCﾠﾠ,39,27.4,35,3.51m,137.00m
CrystalPalace,38,26.6,20,3.57m,135.70m
AstonVilla,44,24.5,23,2.68m,117.95m
NorwichCityﾠﾠ,41,26.6,22,2.85m,116.90m
WestBromwichAlbion,35,26.4,22,3.23m,113.10m
SunderlandAFC,42,26.5,27,2.65m,111.25m
AFCBournemouthﾠﾠ,49,25.1,22,2.04m,99.90m
