Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
ManchesterCity,36,24.9,23,29.01m,1040m
LiverpoolFCﾠ,43,24.4,28,22.55m,969.65m
ChelseaFC,39,25.2,23,22.80m,889.20m
ManchesterUnited,39,24.9,24,19.74m,770.05m
TottenhamHotspur,41,24.6,23,17.16m,703.50m
ArsenalFCﾠ,42,24.4,26,14.74m,619.25m
EvertonFC,44,24.7,26,11.62m,511.20m
LeicesterCity,40,25.3,25,12.77m,510.70m
WolverhamptonWanderers,38,23.9,32,11.85m,450.30m
AstonVilla,53,23.3,24,8.13m,430.75m
WestHamUnited,39,26.5,23,8.59m,334.90m
Brighton&HoveAlbion,46,24.3,29,6.31m,290.40m
SouthamptonFC,39,24.5,20,7.25m,282.80m
NewcastleUnited,33,26.9,18,7.74m,255.35m
FulhamFCﾠﾠ,38,26.4,30,6.31m,239.75m
LeedsUnitedﾠﾠ,39,24.5,23,6.11m,238.10m
CrystalPalace,36,27.7,18,5.38m,193.85m
SheffieldUnited,40,24.9,15,3.75m,149.85m
WestBromwichAlbionﾠﾠ,43,26.1,17,3.28m,141.15m
BurnleyFC,32,26.6,11,4.13m,132.30m
